Scaffold	Scaffold_Size	Chr	Start	End
scaffold_27	5105261	chrUn	1	5105261
scaffold_37	2648413	chrUn	5106262	7754674
scaffold_47	1748180	chrUn	7755675	9503854
scaffold_48	1738986	chrUn	9504855	11243840
scaffold_54	1212556	chrUn	11244841	12457396
scaffold_56	1168921	chrUn	12458397	13627317
scaffold_58	1110135	chrUn	13628318	14738452
scaffold_61	1001911	chrUn	14739453	15741363
scaffold_67	893370	chrUn	15742364	16635733
scaffold_68	869172	chrUn	16636734	17505905
scaffold_69	813576	chrUn	17506906	18320481
scaffold_74	682422	chrUn	18321482	19003903
scaffold_76	596175	chrUn	19004904	19601078
scaffold_80	591236	chrUn	19602079	20193314
scaffold_84	563433	chrUn	20194315	20757747
scaffold_88	508853	chrUn	20758748	21267600
scaffold_89	543734	chrUn	21268601	21812334
scaffold_90	509074	chrUn	21813335	22322408
scaffold_94	517387	chrUn	22323409	22840795
scaffold_95	500428	chrUn	22841796	23342223
scaffold_98	411577	chrUn	23343224	23754800
scaffold_99	420648	chrUn	23755801	24176448
scaffold_101	384623	chrUn	24177449	24562071
scaffold_106	373368	chrUn	24563072	24936439
scaffold_108	349258	chrUn	24937440	25286697
scaffold_111	343876	chrUn	25287698	25631573
scaffold_112	357655	chrUn	25632574	25990228
scaffold_114	369292	chrUn	25991229	26360520
scaffold_115	344019	chrUn	26361521	26705539
scaffold_119	290161	chrUn	26706540	26996700
scaffold_120	303103	chrUn	26997701	27300803
scaffold_121	391895	chrUn	27301804	27693698
scaffold_122	304788	chrUn	27694699	27999486
scaffold_126	290877	chrUn	28000487	28291363
scaffold_128	251254	chrUn	28292364	28543617
scaffold_129	274688	chrUn	28544618	28819305
scaffold_130	236513	chrUn	28820306	29056818
scaffold_131	252297	chrUn	29057819	29310115
scaffold_132	259421	chrUn	29311116	29570536
scaffold_133	266407	chrUn	29571537	29837943
scaffold_134	257138	chrUn	29838944	30096081
scaffold_135	246067	chrUn	30097082	30343148
scaffold_137	249745	chrUn	30344149	30593893
scaffold_139	222911	chrUn	30594894	30817804
scaffold_141	219560	chrUn	30818805	31038364
scaffold_145	295500	chrUn	31039365	31334864
scaffold_146	224531	chrUn	31335865	31560395
scaffold_147	215782	chrUn	31561396	31777177
scaffold_148	196909	chrUn	31778178	31975086
scaffold_149	187351	chrUn	31976087	32163437
scaffold_150	190481	chrUn	32164438	32354918
scaffold_151	191377	chrUn	32355919	32547295
scaffold_152	266236	chrUn	32548296	32814531
scaffold_154	184241	chrUn	32815532	32999772
scaffold_155	190672	chrUn	33000773	33191444
scaffold_156	170221	chrUn	33192445	33362665
scaffold_157	171176	chrUn	33363666	33534841
scaffold_159	166851	chrUn	33535842	33702692
scaffold_160	158084	chrUn	33703693	33861776
scaffold_161	158182	chrUn	33862777	34020958
scaffold_162	175067	chrUn	34021959	34197025
scaffold_163	161911	chrUn	34198026	34359936
scaffold_164	258075	chrUn	34360937	34619011
scaffold_165	168374	chrUn	34620012	34788385
